model,weighted_f1,macro_f1,f1_Backdoor,f1_Normal,f1_Worms,precision_Backdoor,precision_Normal,precision_Worms,recall_Backdoor,recall_Normal,recall_Worms
XGBoost,0.9988663987324119,0.9313773032576006,0.9775086505190311,0.9994189581785015,0.8172043010752689,0.9860383944153578,0.9993514389947304,0.7755102040816326,0.9691252144082333,0.9994864864864865,0.8636363636363636
RandomForest,0.9988120038488029,0.9234173268593778,0.9756521739130435,0.9994190837735237,0.7951807228915663,0.9894179894179894,0.9991356257259393,0.8461538461538461,0.9622641509433962,0.9997027027027027,0.75
LightGBM,0.9986371276719419,0.9366555118733867,0.9685641461342396,0.9992971263280257,0.8421052631578947,0.9595959595959596,0.9995403169109296,0.7843137254901961,0.9777015437392796,0.999054054054054,0.9090909090909091
