model,class,f1
XGBoost,Backdoor,0.9775086505190311
RandomForest,Backdoor,0.9756521739130435
LightGBM,Backdoor,0.9685641461342396
XGBoost,Normal,0.9994189581785015
RandomForest,Normal,0.9994190837735237
LightGBM,Normal,0.9992971263280257
XGBoost,Worms,0.8172043010752689
RandomForest,Worms,0.7951807228915663
LightGBM,Worms,0.8421052631578947
